epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.807,2.00419,2.24088,1.29762,0.69248,0.61237,0.64097,0.34104,1.52177,1.3332,1.09298,0.00047401,0.00047401,0.00047401
2,577.1,1.59454,1.17713,1.13415,0.72496,0.59001,0.63152,0.33071,1.5595,1.45946,1.11197,0.000940935,0.000940935,0.000940935
3,892.576,1.56124,1.1015,1.13034,0.79142,0.63644,0.72043,0.39666,1.4452,1.17791,1.07215,0.00139843,0.00139843,0.00139843
4,1158.11,1.51026,1.03937,1.11559,0.75421,0.65389,0.687,0.35625,1.60047,1.17622,1.12252,0.00138656,0.00138656,0.00138656
5,1590.2,1.47331,0.9977,1.10014,0.7995,0.65732,0.73046,0.40909,1.44044,1.00344,1.06546,0.00137241,0.00137241,0.00137241
6,1906.47,1.44641,0.95938,1.09293,0.81684,0.62895,0.7366,0.4215,1.39494,0.97147,1.04464,0.00135826,0.00135826,0.00135826
7,2228.18,1.42347,0.93564,1.08294,0.83892,0.64738,0.73974,0.42557,1.38661,0.97696,1.04779,0.00134412,0.00134412,0.00134412
8,2521.56,1.4024,0.91304,1.0797,0.83826,0.67622,0.75185,0.42979,1.45545,0.93268,1.06551,0.00132997,0.00132997,0.00132997
9,2739.28,1.38829,0.89888,1.07025,0.8344,0.6886,0.76428,0.45282,1.36548,0.89632,1.03194,0.00131582,0.00131582,0.00131582
10,2902.23,1.38054,0.88522,1.06874,0.82726,0.67107,0.7692,0.47244,1.30133,0.86387,1.0189,0.00130168,0.00130168,0.00130168
11,3093.14,1.35189,0.87682,1.06289,0.8266,0.69586,0.77252,0.4608,1.29402,0.9329,1.02324,0.00128753,0.00128753,0.00128753
12,3287.18,1.34199,0.86924,1.057,0.83858,0.69854,0.77978,0.47013,1.31041,0.81604,1.02573,0.00127338,0.00127338,0.00127338
13,3426.16,1.34462,0.86023,1.05819,0.82342,0.70868,0.77167,0.46449,1.29163,0.834,1.02731,0.00125923,0.00125923,0.00125923
14,3557.04,1.34238,0.85622,1.05639,0.84227,0.70192,0.77654,0.46365,1.32806,0.83719,1.02179,0.00124509,0.00124509,0.00124509
15,3691.95,1.32272,0.85191,1.05057,0.83869,0.70093,0.7852,0.48259,1.25036,0.80917,1.00423,0.00123094,0.00123094,0.00123094
16,3820.75,1.32687,0.83713,1.05173,0.82029,0.72441,0.79482,0.47802,1.26982,0.791,1.01702,0.00121679,0.00121679,0.00121679
17,3966.47,1.30555,0.82348,1.04161,0.80647,0.73651,0.78681,0.48112,1.28907,0.79528,1.00627,0.00120265,0.00120265,0.00120265
18,4066.08,1.31466,0.82422,1.04702,0.82699,0.71821,0.78721,0.47604,1.28585,0.80264,1.01439,0.0011885,0.0011885,0.0011885
19,4161.56,1.30121,0.81451,1.04195,0.84306,0.7121,0.78649,0.47064,1.26583,0.79681,1.02014,0.00117435,0.00117435,0.00117435
20,4288.54,1.29931,0.8116,1.04078,0.84303,0.72835,0.79498,0.49218,1.25259,0.78065,1.00824,0.00116021,0.00116021,0.00116021
21,4418.22,1.28215,0.8072,1.03539,0.86242,0.716,0.79298,0.48557,1.26814,0.78008,1.01471,0.00114606,0.00114606,0.00114606
22,4569.49,1.29649,0.80416,1.0429,0.83835,0.71806,0.79798,0.48565,1.28769,0.77919,1.00881,0.00113191,0.00113191,0.00113191
23,4700.21,1.27693,0.79033,1.0362,0.85761,0.69748,0.79195,0.47879,1.26228,0.78268,1.01131,0.00111776,0.00111776,0.00111776
24,4810.17,1.27136,0.78727,1.03059,0.84761,0.72526,0.79151,0.48502,1.23387,0.77188,0.99116,0.00110362,0.00110362,0.00110362
25,4949.61,1.25272,0.77308,1.02608,0.84942,0.70887,0.78608,0.48138,1.22804,0.75966,0.99884,0.00108947,0.00108947,0.00108947
26,5064.57,1.27141,0.77852,1.02965,0.83031,0.73393,0.79015,0.48054,1.24795,0.75712,1.00214,0.00107532,0.00107532,0.00107532
27,242.696,1.28135,0.79018,1.0345,0.85832,0.75016,0.81477,0.49701,1.2184,0.73752,1.00064,0.00106118,0.00106118,0.00106118
28,503.273,1.25864,0.7786,1.02868,0.84011,0.73564,0.79434,0.49636,1.21285,0.74768,0.99584,0.00104703,0.00104703,0.00104703
29,736.922,1.26788,0.77686,1.03077,0.85607,0.7178,0.79953,0.49462,1.22005,0.77171,1.00024,0.00103288,0.00103288,0.00103288
30,927.831,1.25148,0.77102,1.02526,0.85532,0.74021,0.81004,0.49787,1.21511,0.73264,0.98897,0.00101873,0.00101873,0.00101873
31,1097.08,1.23866,0.76831,1.02044,0.84912,0.73741,0.80174,0.50003,1.21769,0.73505,0.99299,0.00100459,0.00100459,0.00100459
32,1245.67,1.24869,0.76506,1.02454,0.82255,0.73749,0.80266,0.49359,1.24386,0.75915,0.99299,0.00099044,0.00099044,0.00099044
33,1407.85,1.22597,0.75225,1.01535,0.83207,0.73732,0.80916,0.50131,1.22423,0.72467,0.9937,0.000976293,0.000976293,0.000976293
34,557.16,1.22034,0.7699,1.01257,0.83427,0.75081,0.8081,0.49728,1.21031,0.74467,0.99798,0.000962146,0.000962146,0.000962146
35,1740.07,1.20092,0.73433,1.01064,0.79106,0.77146,0.80463,0.49997,1.22635,0.74416,0.99668,0.000947999,0.000947999,0.000947999
36,1957.6,1.20706,0.73471,1.01084,0.84672,0.7206,0.80473,0.4931,1.22348,0.73537,0.9989,0.000933851,0.000933851,0.000933851
37,2119.63,1.19887,0.72861,1.00914,0.82735,0.75347,0.81213,0.49728,1.21637,0.74067,0.99301,0.000919704,0.000919704,0.000919704
38,2289.07,1.1821,0.72701,1.0033,0.84559,0.73376,0.79924,0.4891,1.24494,0.7249,1.00425,0.000905557,0.000905557,0.000905557
39,2430.34,1.19617,0.7246,1.00896,0.82578,0.75554,0.80724,0.50002,1.22295,0.72729,0.99013,0.00089141,0.00089141,0.00089141
40,2584.89,1.16994,0.71459,0.99993,0.82947,0.74458,0.80615,0.49726,1.23789,0.71608,1.00314,0.000877263,0.000877263,0.000877263
41,2859.09,1.21492,0.74153,1.01449,0.83845,0.74801,0.81169,0.50585,1.20904,0.7293,0.99131,0.000863116,0.000863116,0.000863116
42,3005.85,1.20791,0.72838,1.01042,0.83175,0.74821,0.81091,0.5052,1.23208,0.7033,0.9979,0.000848969,0.000848969,0.000848969
43,3143.36,1.21922,0.73273,1.01507,0.84002,0.75907,0.80819,0.50348,1.20852,0.71858,0.99158,0.000834822,0.000834822,0.000834822
44,3268.82,1.18978,0.72539,1.00755,0.83978,0.74276,0.8037,0.51187,1.19211,0.7246,0.99064,0.000820675,0.000820675,0.000820675
45,3393.04,1.18278,0.71476,1.00456,0.85532,0.73834,0.81492,0.50775,1.17973,0.7091,0.98524,0.000806528,0.000806528,0.000806528
46,3524.15,1.18148,0.724,1.00574,0.85253,0.7324,0.81059,0.50867,1.18814,0.70185,0.98682,0.00079238,0.00079238,0.00079238
47,3653.24,1.18994,0.72006,1.00701,0.83843,0.75929,0.81511,0.51059,1.18356,0.70974,0.98345,0.000778233,0.000778233,0.000778233
48,3760.35,1.17789,0.71973,1.00321,0.82446,0.74219,0.80087,0.51179,1.18427,0.70809,0.98435,0.000764086,0.000764086,0.000764086
49,3878.8,1.18473,0.71434,1.00521,0.86083,0.73612,0.81461,0.51994,1.18493,0.69807,0.9843,0.000749939,0.000749939,0.000749939
50,4003.57,1.16902,0.70231,0.99839,0.86473,0.73619,0.81713,0.51675,1.18485,0.69748,0.98514,0.000735792,0.000735792,0.000735792
51,4117.62,1.17954,0.7083,1.00337,0.84519,0.75809,0.8235,0.51377,1.18525,0.68764,0.98658,0.000721645,0.000721645,0.000721645
52,4215.92,1.16506,0.70363,0.99795,0.85866,0.74357,0.81156,0.51052,1.19163,0.69746,0.98515,0.000707498,0.000707498,0.000707498
53,214.844,1.16088,0.70604,0.99526,0.87903,0.73515,0.82335,0.51723,1.19264,0.70107,0.98926,0.000693351,0.000693351,0.000693351
54,445.289,1.14403,0.68663,0.99342,0.84144,0.74692,0.81376,0.50934,1.17864,0.69789,0.99185,0.000679204,0.000679204,0.000679204
55,658.067,1.15443,0.69092,0.99566,0.82313,0.77866,0.81974,0.51657,1.19363,0.69967,0.99105,0.000665057,0.000665057,0.000665057
56,827.472,1.14193,0.68307,0.99159,0.88734,0.7259,0.82042,0.51343,1.18395,0.68502,0.9942,0.000650909,0.000650909,0.000650909
57,1009.9,1.12672,0.67985,0.98551,0.86079,0.75198,0.82113,0.50458,1.22,0.69872,0.99779,0.000636762,0.000636762,0.000636762
58,1164.8,1.13662,0.68004,0.99028,0.86818,0.75316,0.81699,0.51511,1.1995,0.68265,0.98467,0.000622615,0.000622615,0.000622615
59,1321.67,1.11484,0.66522,0.9841,0.85134,0.75394,0.81425,0.5104,1.20701,0.6897,0.9935,0.000608468,0.000608468,0.000608468
60,1483.84,1.139,0.6781,0.98988,0.85653,0.75613,0.81418,0.50862,1.20968,0.69942,0.9941,0.000594321,0.000594321,0.000594321
61,1625.08,1.13579,0.67461,0.98756,0.85899,0.76237,0.825,0.52057,1.19663,0.67577,0.98891,0.000580174,0.000580174,0.000580174
62,1796.79,1.14417,0.67546,0.99111,0.8523,0.74461,0.80681,0.50919,1.19766,0.6859,0.9893,0.000566027,0.000566027,0.000566027
63,1963.86,1.11979,0.67111,0.98692,0.8298,0.7635,0.82044,0.52113,1.18864,0.68439,0.98945,0.00055188,0.00055188,0.00055188
64,2128.56,1.11363,0.66472,0.98313,0.84763,0.77257,0.82365,0.5229,1.1838,0.67507,0.98911,0.000537733,0.000537733,0.000537733
65,2305.07,1.10862,0.66503,0.98297,0.84045,0.75853,0.82301,0.52137,1.17277,0.67318,0.98213,0.000523586,0.000523586,0.000523586
66,2429.25,1.12197,0.66904,0.98723,0.86375,0.74373,0.82371,0.52055,1.16919,0.67201,0.97992,0.000509438,0.000509438,0.000509438
67,2535.28,1.10772,0.66503,0.98182,0.85383,0.76307,0.82139,0.52051,1.18208,0.67104,0.98936,0.000495291,0.000495291,0.000495291
68,2651.27,1.11613,0.6629,0.98382,0.87038,0.7565,0.82133,0.52108,1.17346,0.67583,0.98506,0.000481144,0.000481144,0.000481144
69,2778.17,1.09787,0.65153,0.97808,0.88447,0.73124,0.8226,0.52117,1.17559,0.67251,0.98354,0.000466997,0.000466997,0.000466997
70,2886.95,1.11055,0.65618,0.98352,0.85403,0.76369,0.82477,0.5241,1.17479,0.65709,0.98459,0.00045285,0.00045285,0.00045285
71,3029.85,1.10109,0.65365,0.97901,0.84827,0.76601,0.82042,0.52326,1.18354,0.67105,0.98683,0.000438703,0.000438703,0.000438703
72,3215.99,1.12635,0.66744,0.98556,0.89869,0.71664,0.81779,0.51878,1.17937,0.66703,0.97974,0.000424556,0.000424556,0.000424556
73,3384.46,1.12296,0.66598,0.98418,0.85553,0.74756,0.81768,0.51988,1.17769,0.66693,0.98546,0.000410409,0.000410409,0.000410409
74,3473.82,1.12271,0.66281,0.98797,0.86581,0.74981,0.82206,0.52345,1.17395,0.65327,0.98552,0.000396262,0.000396262,0.000396262
75,3579.95,1.11726,0.65366,0.98548,0.82444,0.77908,0.82489,0.52454,1.16641,0.65675,0.98118,0.000382115,0.000382115,0.000382115
76,3675.74,1.1089,0.65176,0.98217,0.85733,0.76371,0.82753,0.52533,1.16174,0.66363,0.97816,0.000367967,0.000367967,0.000367967
77,3801.84,1.10292,0.64708,0.98111,0.86771,0.74254,0.82416,0.52551,1.1609,0.65233,0.97893,0.00035382,0.00035382,0.00035382
78,3885.37,1.10941,0.65015,0.98118,0.84928,0.77872,0.82407,0.52291,1.16246,0.65297,0.979,0.000339673,0.000339673,0.000339673
79,3989.2,1.11096,0.65468,0.98293,0.84798,0.76791,0.82523,0.52429,1.1672,0.65099,0.97972,0.000325526,0.000325526,0.000325526
80,4091.71,1.11478,0.65336,0.98359,0.84291,0.76132,0.82316,0.52878,1.15613,0.64697,0.97756,0.000311379,0.000311379,0.000311379
81,207.995,1.0688,0.6359,0.96901,0.85627,0.77328,0.82892,0.52336,1.18336,0.65468,0.98319,0.000297232,0.000297232,0.000297232
82,444.881,1.06327,0.62837,0.96855,0.85731,0.74652,0.82219,0.52563,1.17061,0.65806,0.9837,0.000283085,0.000283085,0.000283085
83,653.397,1.07178,0.63105,0.97078,0.86009,0.75785,0.81973,0.52237,1.16408,0.65489,0.98173,0.000268938,0.000268938,0.000268938
84,828.829,1.06118,0.62611,0.9672,0.8456,0.77374,0.82747,0.52305,1.17875,0.65478,0.98542,0.000254791,0.000254791,0.000254791
85,1003.28,1.04986,0.62372,0.96336,0.85827,0.76486,0.8266,0.52802,1.18345,0.65596,0.98679,0.000240644,0.000240644,0.000240644
86,1149.92,1.05511,0.62104,0.96742,0.8505,0.7663,0.82806,0.52574,1.17053,0.6517,0.98322,0.000226497,0.000226497,0.000226497
87,1291.61,1.03283,0.60732,0.95986,0.82309,0.76995,0.82189,0.51591,1.19387,0.65645,0.99201,0.000212349,0.000212349,0.000212349
88,1441.66,1.06035,0.62104,0.96667,0.82965,0.77245,0.82213,0.51887,1.17898,0.64578,0.98669,0.000198202,0.000198202,0.000198202
89,1562.41,1.0506,0.61464,0.96382,0.8372,0.76709,0.8246,0.52337,1.17996,0.63998,0.98541,0.000184055,0.000184055,0.000184055
90,1671.65,1.06019,0.61825,0.9662,0.86281,0.75012,0.8187,0.52175,1.18056,0.64372,0.98274,0.000169908,0.000169908,0.000169908
91,2137.68,1.01079,0.59375,0.96261,0.84967,0.76475,0.82266,0.51802,1.17659,0.67549,0.98824,0.000155761,0.000155761,0.000155761
92,2453.38,0.95729,0.55726,0.94951,0.86243,0.7574,0.81629,0.51415,1.17305,0.68756,0.98769,0.000141614,0.000141614,0.000141614
93,2646.45,0.93105,0.54206,0.94362,0.85923,0.75742,0.81606,0.51779,1.17528,0.67882,0.98528,0.000127467,0.000127467,0.000127467
94,2805.15,0.91529,0.53409,0.93874,0.84367,0.75765,0.81176,0.51675,1.17058,0.67494,0.98789,0.00011332,0.00011332,0.00011332
95,2948.55,0.90069,0.52764,0.93449,0.84393,0.75083,0.8093,0.51363,1.16888,0.67568,0.98886,9.91726e-05,9.91726e-05,9.91726e-05
96,3070.66,0.88052,0.51859,0.92867,0.83676,0.75708,0.80745,0.51601,1.16817,0.67643,0.98828,8.50255e-05,8.50255e-05,8.50255e-05
