Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
2	Spectrogram 1	1	28.437601120	28.713776000	207.546	479.993	w	0.66886926
3	Spectrogram 1	1	33.942544960	34.241653280	121.580	984.403	lt	0.867092
7	Spectrogram 1	1	72.590058560	73.440900320	67.527	340.016	lt	0.7805275
10	Spectrogram 1	1	177.124260800	177.468128000	138.854	953.061	lt	0.8595489
13	Spectrogram 1	1	186.270039840	186.589229760	85.258	901.676	lt	0.77088517
21	Spectrogram 1	1	299.581979520	299.990204160	76.756	475.117	lt	0.6875008
22	Spectrogram 1	1	296.598049440	296.979480800	146.348	349.093	w	0.53764504
23	Spectrogram 1	1	300.024175171	301.300070560	65.496	647.304	lt	0.8959507
24	Spectrogram 1	1	308.301944320	309.648988320	73.187	720.568	lt	0.902142
27	Spectrogram 1	1	413.170947200	413.930720640	85.211	465.387	lt	0.8545405
28	Spectrogram 1	1	418.888994080	419.630798880	70.849	396.555	lt	0.8205936
29	Spectrogram 1	1	415.008929138	415.516708432	77.387	463.648	lt	0.8028925
32	Spectrogram 1	1	420.084967072	420.363089136	96.509	452.462	lt	0.5314222
33	Spectrogram 1	1	428.027557600	428.746467840	73.612	410.026	lt	0.802172
35	Spectrogram 1	1	434.274944320	434.690848640	65.769	366.950	lt	0.6744116
38	Spectrogram 1	1	448.426206080	448.822451200	101.869	696.126	lt	0.8247505
39	Spectrogram 1	1	454.359782400	454.679411200	84.489	854.972	lt	0.7811044
41	Spectrogram 1	1	455.258476448	455.599367920	167.580	520.449	lt	0.6645454
42	Spectrogram 1	1	464.002547840	464.711595680	75.539	380.991	lt	0.84589857
43	Spectrogram 1	1	473.290328640	473.797819360	55.280	395.638	lt	0.83438027
44	Spectrogram 1	1	470.003834412	470.615550592	71.984	412.015	lt	0.8160273
49	Spectrogram 1	1	501.404371040	501.774589360	129.267	698.346	lt	0.9661062
