Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	0.000000000	0.269726898	88.685	418.960	lt
2	Spectrogram 1	1	1.048937937	2.287683691	70.336	639.144	lt
3	Spectrogram 1	1	3.106854271	4.125822552	42.813	422.018	lt
4	Spectrogram 1	1	4.575367383	5.424507617	82.569	422.018	lt
5	Spectrogram 1	1	5.224709915	6.293627622	36.697	844.037	lt
6	Spectrogram 1	1	6.363556818	7.332575674	70.336	422.018	lt
7	Spectrogram 1	1	7.941958666	8.541351773	51.988	425.076	lt
8	Spectrogram 1	1	9.869120005	11.017956793	64.220	663.609	lt
9	Spectrogram 1	1	11.897066683	12.596358641	70.336	431.193	lt
10	Spectrogram 1	1	14.024912213	14.963961414	24.465	813.456	lt
11	Spectrogram 1	1	15.243678197	15.493425325	88.685	929.664	lt
12	Spectrogram 1	1	15.883030844	16.971928322	58.104	409.786	lt
13	Spectrogram 1	1	17.611280969	18.290593157	76.453	434.251	lt
14	Spectrogram 1	1	18.550330170	18.800077298	79.511	993.884	lt
15	Spectrogram 1	1	18.998988511	20.107865759	91.743	425.076	lt
16	Spectrogram 1	1	20.737238886	21.626338661	24.465	834.862	lt
17	Spectrogram 1	1	22.185772228	23.424517982	73.394	623.853	lt
18	Spectrogram 1	1	23.824113387	24.413516608	103.976	428.135	lt
19	Spectrogram 1	1	25.551477023	26.630384615	73.394	434.251	lt
20	Spectrogram 1	1	26.980030594	27.689312438	79.511	428.135	lt
21	Spectrogram 1	1	28.468523477	29.457522103	30.581	831.804	lt
22	Spectrogram 1	1	30.156814061	30.726237512	125.382	428.135	lt
23	Spectrogram 1	1	30.686277972	30.995964411	67.278	660.550	lt
24	Spectrogram 1	1	31.745205794	32.794143731	100.917	409.786	lt
25	Spectrogram 1	1	33.232812188	33.902134491	97.859	409.786	lt
26	Spectrogram 1	1	34.371659091	35.460556568	30.581	834.862	lt
27	Spectrogram 1	1	35.430586913	36.099909216	103.976	437.309	lt
28	Spectrogram 1	1	37.118877498	37.748240260	97.859	422.018	lt
29	Spectrogram 1	1	38.527451299	39.556409466	100.917	422.018	lt
30	Spectrogram 1	1	40.055903721	41.124821429	24.465	847.095	lt
31	Spectrogram 1	1	41.853196553	42.832205295	91.743	437.309	lt
32	Spectrogram 1	1	43.401628746	44.050971279	97.859	422.018	lt
33	Spectrogram 1	1	45.109899101	46.008988761	94.801	437.309	lt
34	Spectrogram 1	1	46.348644855	47.577400724	82.569	697.248	lt
35	Spectrogram 1	1	47.777198427	48.836126249	45.872	810.398	lt
36	Spectrogram 1	1	48.786176823	49.535418207	76.453	428.135	lt
37	Spectrogram 1	1	50.154791084	50.714224650	79.511	437.309	lt
38	Spectrogram 1	1	51.742296329	52.711315185	79.511	422.018	lt
39	Spectrogram 1	1	53.320698177	53.980030594	82.569	431.193	lt
40	Spectrogram 1	1	55.028968531	56.257724401	67.278	639.144	lt
41	Spectrogram 1	1	56.707269231	57.846116134	88.685	458.716	lt
42	Spectrogram 1	1	58.415539585	59.254689935	18.349	813.456	lt
43	Spectrogram 1	1	60.232812188	61.191841159	82.569	437.309	lt
44	Spectrogram 1	1	61.801224151	62.480536339	88.685	428.135	lt
45	Spectrogram 1	1	63.479524850	64.418574051	85.627	409.786	lt
46	Spectrogram 1	1	65.057926698	65.697279346	113.150	422.018	lt
47	Spectrogram 1	1	66.216753372	67.375580045	64.220	672.783	lt
48	Spectrogram 1	1	67.715236139	68.764174076	24.465	816.514	lt
49	Spectrogram 1	1	68.644295455	69.283648102	97.859	418.960	lt
50	Spectrogram 1	1	70.531497253	71.110910589	88.685	431.193	lt
51	Spectrogram 1	1	72.089919331	73.198796578	103.976	406.728	lt
52	Spectrogram 1	1	73.848139111	74.857117507	27.523	795.107	lt
53	Spectrogram 1	1	75.556409466	76.565387862	70.336	437.309	lt
54	Spectrogram 1	1	76.855094530	77.484457293	73.394	409.786	lt
55	Spectrogram 1	1	78.572468282	79.191841159	94.801	422.018	lt
56	Spectrogram 1	1	80.210809441	81.479524850	82.569	602.446	lt
57	Spectrogram 1	1	82.228766234	83.217764860	42.813	807.339	lt
58	Spectrogram 1	1	81.699302323	82.408584166	107.034	412.844	lt
59	Spectrogram 1	1	83.637340035	84.616348776	58.104	437.309	lt
60	Spectrogram 1	1	85.605347403	86.254689935	97.859	418.960	lt
61	Spectrogram 1	1	87.242802073	88.171861389	110.092	415.902	lt
62	Spectrogram 1	1	88.271760240	89.250768981	21.407	792.049	lt
63	Spectrogram 1	1	90.010000250	91.208786464	113.150	593.272	lt
64	Spectrogram 1	1	92.177805320	93.286682567	76.453	425.076	lt
65	Spectrogram 1	1	93.676288087	94.195762113	82.569	425.076	lt
66	Spectrogram 1	1	94.365590160	95.314629246	24.465	807.339	lt
67	Spectrogram 1	1	95.574366259	96.383546953	91.743	418.960	lt
