Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	0.000000000	0.833727200	216.436	935.318	m	0.76391786
2	Spectrogram 1	1	0.744467776	4.727663676	166.213	615.804	m	0.5855178
3	Spectrogram 1	1	5.448665520	10.008000000	101.457	679.023	m	0.64984995
4	Spectrogram 1	1	9.020477120	9.932696000	279.210	915.297	m	0.58984053
6	Spectrogram 1	1	4.711162232	5.565223872	181.873	746.594	m	0.42445835
7	Spectrogram 1	1	10.005844726	14.987736800	116.830	688.834	m	0.6275137
8	Spectrogram 1	1	17.534791040	20.008000000	158.189	745.933	m	0.9478714
10	Spectrogram 1	1	16.243709920	16.641430176	177.312	472.107	w	0.6050432
12	Spectrogram 1	1	14.990024134	16.223333280	187.830	580.381	m	0.46707442
14	Spectrogram 1	1	16.635665760	17.552943482	149.864	942.779	m	0.3407146
15	Spectrogram 1	1	21.113579104	21.893090560	166.213	999.333	m	0.90613294
16	Spectrogram 1	1	24.302034035	24.879584571	258.856	713.896	m	0.8494223
17	Spectrogram 1	1	20.009912109	25.008000000	103.079	682.337	m	0.54165226
18	Spectrogram 1	1	27.039038560	30.003877920	160.574	749.930	m	0.84138757
19	Spectrogram 1	1	26.132478560	26.997911136	259.192	961.853	m	0.6795001
20	Spectrogram 1	1	28.982967360	29.678508320	259.443	724.501	m	0.5126809
22	Spectrogram 1	1	25.045527587	26.156988800	234.839	569.512	m	0.37665358
23	Spectrogram 1	1	30.159873040	33.487068800	139.100	736.706	m	0.90055424
24	Spectrogram 1	1	32.613041600	33.484395520	282.483	622.943	m	0.6895703
26	Spectrogram 1	1	35.000000000	39.978389600	126.300	699.760	m	0.42197204
27	Spectrogram 1	1	47.863637280	48.536638240	166.213	1000.000	m	0.77189726
28	Spectrogram 1	1	42.597522380	50.004102400	102.088	681.199	m	0.55482405
30	Spectrogram 1	1	50.580617440	51.151712480	246.439	857.540	m	0.72352207
31	Spectrogram 1	1	50.016989746	53.951563841	114.575	602.180	m	0.3522044
32	Spectrogram 1	1	54.172998400	55.008000000	159.379	527.779	m	0.31420362
33	Spectrogram 1	1	54.438356436	55.008000000	416.894	803.815	m	0.2955737
36	Spectrogram 1	1	55.236768304	56.302332818	187.844	477.769	m	0.30564958
37	Spectrogram 1	1	60.783085696	61.259409920	228.832	771.737	m	0.76300055
38	Spectrogram 1	1	67.801317920	68.543089280	279.839	729.864	m	0.6835187
39	Spectrogram 1	1	66.374926671	67.777549402	153.344	457.766	m	0.5952762
40	Spectrogram 1	1	80.571343853	85.008000000	152.423	506.812	m	0.5988097
42	Spectrogram 1	1	85.178920380	90.008000000	137.458	528.610	m	0.6001661
43	Spectrogram 1	1	83.954139851	85.538278465	444.142	926.431	m	0.45994583
44	Spectrogram 1	1	89.395039295	90.632647587	395.095	915.531	m	0.2850222
45	Spectrogram 1	1	92.043311520	98.434867059	164.295	536.785	m	0.73892844
46	Spectrogram 1	1	90.000000000	91.461427840	187.384	489.982	m	0.3984286
48	Spectrogram 1	1	98.524087356	107.047083127	118.915	547.684	m	0.36302698
49	Spectrogram 1	1	125.317819307	134.302855507	163.488	523.161	m	0.49984986
50	Spectrogram 1	1	115.715516605	125.321429072	177.112	506.812	m	0.29204232
51	Spectrogram 1	1	134.221938400	143.121339625	153.219	572.207	m	0.44639644
53	Spectrogram 1	1	144.728692760	146.078161280	193.114	487.738	m	0.61264646
54	Spectrogram 1	1	148.218748144	149.984163200	202.219	501.362	m	0.49896407
55	Spectrogram 1	1	152.137009760	153.490588320	170.286	515.379	m	0.3386948
56	Spectrogram 1	1	155.115398437	156.023497440	256.745	601.308	m	0.7967801
57	Spectrogram 1	1	158.966093280	159.870795200	270.268	614.947	m	0.7081838
58	Spectrogram 1	1	156.032289600	157.409873120	195.207	506.512	m	0.55211574
59	Spectrogram 1	1	160.214366027	161.538568240	177.112	490.463	m	0.4375463
60	Spectrogram 1	1	162.476902880	163.191536640	174.387	643.052	m	0.33408877
61	Spectrogram 1	1	165.011439698	166.380379680	219.556	500.747	m	0.37425566
62	Spectrogram 1	1	176.801830560	177.325382880	227.346	759.391	m	0.35014096
64	Spectrogram 1	1	174.518042595	183.907364171	160.763	501.362	m	0.5865048
65	Spectrogram 1	1	183.066048800	183.371979520	259.522	767.097	m	0.57983446
66	Spectrogram 1	1	184.029587356	199.628592512	173.930	520.436	m	0.37886995
74	Spectrogram 1	1	49.750898309	50.039673577	239.782	403.270	w	
75	Spectrogram 1	1	42.886297649	43.249329414	188.011	384.196	w	
76	Spectrogram 1	1	46.145332818	46.524866027	198.910	381.471	w	
79	Spectrogram 1	1	56.409592203	56.706618193	136.240	340.599	w	
80	Spectrogram 1	1	58.059736592	60.567956064	220.708	498.638	m	
81	Spectrogram 1	1	61.672015161	65.054811159	190.736	493.188	m	
82	Spectrogram 1	1	68.553117265	69.213175021	310.627	520.436	m	
83	Spectrogram 1	1	69.006906972	70.673552805	168.937	354.223	m	
84	Spectrogram 1	1	70.795775990	76.332010417	182.561	493.188	m	
