Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	1.803967042	2.272304640	148.700	395.500	w
2	Spectrogram 1	1	4.058925846	4.388496748	161.400	297.400	w
3	Spectrogram 1	1	7.944393322	8.759647658	151.900	373.300	w
4	Spectrogram 1	1	10.769275369	11.246285885	161.400	398.600	w
5	Spectrogram 1	1	12.764046618	12.894140395	69.600	667.600	m
6	Spectrogram 1	1	14.949622073	15.391940915	177.200	373.300	w
7	Spectrogram 1	1	17.100505854	17.534151778	167.700	344.900	w
8	Spectrogram 1	1	12.972196661	13.319113400	170.800	272.100	w
9	Spectrogram 1	1	18.002489376	18.245331093	60.100	461.900	lt
10	Spectrogram 1	1	19.196862749	19.604489918	145.500	373.300	w
11	Spectrogram 1	1	21.182961080	21.512531982	158.200	389.100	w
12	Spectrogram 1	1	23.281807350	23.602705334	189.800	439.800	w
13	Spectrogram 1	1	24.634782632	24.903643105	161.400	398.600	w
14	Spectrogram 1	1	26.707610147	27.097891479	193.000	373.300	w
15	Spectrogram 1	1	30.148269406	30.668644514	164.500	408.100	w
16	Spectrogram 1	1	32.628724089	33.383267997	148.700	392.300	w
17	Spectrogram 1	1	34.857664137	35.464768430	151.400	305.100	w
19	Spectrogram 1	1	36.306041522	36.635612424	216.000	387.500	w
20	Spectrogram 1	1	36.875964766	37.196862749	294.000	441.000	w
21	Spectrogram 1	1	37.699892021	38.159556700	178.200	371.900	w
22	Spectrogram 1	1	40.136982112	40.535936362	149.200	456.600	w
23	Spectrogram 1	1	41.836874133	42.461324263	140.300	400.900	w
24	Spectrogram 1	1	43.606149501	43.961739159	153.700	394.200	w
25	Spectrogram 1	1	45.589758456	45.980039788	189.300	396.400	w
26	Spectrogram 1	1	47.575856787	48.113577732	171.500	407.600	w
27	Spectrogram 1	1	49.553282199	49.969582285	169.300	412.000	w
28	Spectrogram 1	1	51.019005421	51.634782632	207.100	378.600	w
29	Spectrogram 1	1	52.571457827	52.996430833	169.300	414.300	w
30	Spectrogram 1	1	54.667814722	54.945348114	182.600	367.500	w
31	Spectrogram 1	1	56.246285885	56.749315156	193.800	358.600	w
32	Spectrogram 1	1	57.937504987	58.362477992	73.500	458.800	lt
33	Spectrogram 1	1	66.234998591	66.425802797	294.000	621.400	lt
34	Spectrogram 1	1	69.738857654	70.129138985	322.900	481.100	w
35	Spectrogram 1	1	80.768320577	81.071872723	325.200	487.800	w
36	Spectrogram 1	1	73.136152320	73.595816999	349.700	523.400	w
37	Spectrogram 1	1	86.776163703	87.365922160	216.000	465.500	w
38	Spectrogram 1	1	90.314714441	90.930491652	231.600	501.100	w
39	Spectrogram 1	1	92.333015069	92.992156873	207.100	338.500	w
40	Spectrogram 1	1	93.989542498	94.683375976	213.800	465.500	w
41	Spectrogram 1	1	98.135197528	98.646899718	187.100	478.800	w
42	Spectrogram 1	1	102.486513226	102.928832069	322.900	474.400	w
43	Spectrogram 1	1	104.706780356	105.391940915	182.600	356.300	w
44	Spectrogram 1	1	106.042409801	106.658187012	135.900	485.500	w
45	Spectrogram 1	1	108.089218560	108.496845729	209.400	378.600	w
46	Spectrogram 1	1	108.702506396	109.517760733	49.000	298.400	lt
47	Spectrogram 1	1	109.413685711	109.925387901	164.800	534.500	w
48	Spectrogram 1	1	112.657357220	113.177732329	173.700	478.800	w
49	Spectrogram 1	1	113.463938638	114.738857654	49.000	755.000	lt
50	Spectrogram 1	1	115.883682892	116.360693408	191.500	465.500	w
51	Spectrogram 1	1	116.499460104	116.863722680	207.100	331.800	w
52	Spectrogram 1	1	111.391111123	111.850775802	200.400	351.900	w
53	Spectrogram 1	1	121.908871856	122.394555291	182.600	452.100	w
54	Spectrogram 1	1	124.432691132	124.848991219	149.200	530.100	w
55	Spectrogram 1	1	129.980869579	130.561955117	164.800	605.800	w
56	Spectrogram 1	1	133.571457827	134.126524610	151.400	490.000	w
57	Spectrogram 1	1	136.743256613	137.254958803	171.500	559.000	w
58	Spectrogram 1	1	140.221096921	140.715453274	180.400	447.700	w
59	Spectrogram 1	1	143.776993495	144.245331093	155.900	521.200	w
60	Spectrogram 1	1	147.850775802	148.258402971	198.200	398.700	w
61	Spectrogram 1	1	150.877624350	151.363307784	209.400	443.200	w
62	Spectrogram 1	1	154.023404380	154.569798244	182.600	409.800	w
63	Spectrogram 1	1	157.718067650	158.351190698	173.700	434.300	w
64	Spectrogram 1	1	161.152543365	161.759647658	155.900	490.000	w
65	Spectrogram 1	1	165.443148634	165.998215416	164.800	503.300	w
66	Spectrogram 1	1	169.077101474	169.545439072	169.300	530.100	w
67	Spectrogram 1	1	169.640841175	170.534151778	26.700	672.600	lt
68	Spectrogram 1	1	173.558510950	174.252344428	167.000	574.600	w
69	Spectrogram 1	1	177.469997181	177.973026453	158.100	628.100	w
70	Spectrogram 1	1	180.780562663	181.205535668	37.900	267.300	lt
71	Spectrogram 1	1	182.905427689	183.217652754	204.900	351.900	w
72	Spectrogram 1	1	183.477840308	183.859448721	213.800	394.200	w
73	Spectrogram 1	1	186.756203491	187.293924436	178.200	378.600	w
74	Spectrogram 1	1	191.480454683	191.896754770	207.100	369.700	w
75	Spectrogram 1	1	192.026848547	192.365092368	200.400	343.000	w
76	Spectrogram 1	1	189.095402103	189.589758456	189.300	363.000	w
77	Spectrogram 1	1	196.528093235	197.048468343	187.100	376.400	w
78	Spectrogram 1	1	201.104904814	201.685990351	44.500	371.900	lt
79	Spectrogram 1	1	206.265291305	206.742301821	29.000	291.800	lt
80	Spectrogram 1	1	207.711179315	208.136152320	231.600	726.100	m
81	Spectrogram 1	1	209.914100607	210.252344428	51.200	269.500	lt
82	Spectrogram 1	1	209.385052580	209.966138118	211.600	365.300	w
83	Spectrogram 1	1	215.282637142	215.594862207	180.400	650.300	m
84	Spectrogram 1	1	217.630508673	217.890696227	191.500	677.100	m
85	Spectrogram 1	1	219.278363183	219.746700781	55.700	282.900	lt
86	Spectrogram 1	1	220.509917606	221.351190698	42.300	325.200	lt
87	Spectrogram 1	1	224.187235039	224.594862207	182.600	378.600	w
88	Spectrogram 1	1	225.323387359	225.618266587	187.100	429.800	w
89	Spectrogram 1	1	226.127479402	226.751929532	202.700	387.500	w
90	Spectrogram 1	1	229.215038378	229.752759324	26.700	343.000	lt
91	Spectrogram 1	1	230.446592801	230.810855377	218.300	403.100	w
92	Spectrogram 1	1	235.431031548	235.968752493	42.300	327.400	lt
93	Spectrogram 1	1	240.149099198	240.712838899	220.500	434.300	m
94	Spectrogram 1	1	242.187235039	242.482114267	196.000	369.700	w
95	Spectrogram 1	1	243.936675195	244.413685711	196.000	434.300	w
96	Spectrogram 1	1	245.116192108	245.454435928	222.700	398.700	w
97	Spectrogram 1	1	245.844717259	246.547223656	209.400	425.400	w
98	Spectrogram 1	1	246.885467476	247.501244688	191.500	518.900	m
99	Spectrogram 1	1	247.657357220	248.073657307	173.700	374.200	w
100	Spectrogram 1	1	248.238442758	248.758817866	62.400	311.800	lt
101	Spectrogram 1	1	252.424973005	253.457050304	202.700	554.600	m
102	Spectrogram 1	1	253.604489918	254.064154597	42.300	351.900	lt
103	Spectrogram 1	1	257.828201214	258.999045208	238.300	518.900	m
104	Spectrogram 1	1	261.314714441	261.835089549	196.000	663.700	m
105	Spectrogram 1	1	262.370321119	262.777948287	49.000	924.300	lt
106	Spectrogram 1	1	263.012117086	263.801352667	258.400	505.600	m
107	Spectrogram 1	1	265.353805074	265.813469753	55.700	233.900	lt
108	Spectrogram 1	1	268.684205768	269.204580876	53.500	296.200	lt
109	Spectrogram 1	1	270.407627168	271.378994037	242.800	527.800	m
110	Spectrogram 1	1	272.810025585	273.313054857	42.300	349.700	lt
111	Spectrogram 1	1	273.408456960	274.084944601	204.900	670.400	m
112	Spectrogram 1	1	274.414515503	275.446592801	231.600	490.000	m
113	Spectrogram 1	1	278.612208044	279.314714441	200.400	699.300	m
114	Spectrogram 1	1	281.853390178	282.365092368	193.800	694.900	m
115	Spectrogram 1	1	284.290480269	284.793509540	207.100	650.300	m
116	Spectrogram 1	1	283.197692541	284.082330225	258.400	498.900	m
117	Spectrogram 1	1	287.881068517	288.453481136	258.400	641.400	m
118	Spectrogram 1	1	292.388496748	293.064984389	258.400	665.900	m
119	Spectrogram 1	1	296.551497615	297.132583153	278.400	690.400	m
120	Spectrogram 1	1	300.946177905	301.440534258	271.700	697.100	m
121	Spectrogram 1	1	304.476055724	305.083160017	204.900	632.500	m
122	Spectrogram 1	1	307.205535668	307.821312879	258.400	663.700	m
123	Spectrogram 1	1	310.466553014	311.030292715	273.900	728.300	m
124	Spectrogram 1	1	314.326001735	314.577516370	98.000	371.900	lt
125	Spectrogram 1	1	315.323387359	315.869781223	242.800	661.500	m
126	Spectrogram 1	1	320.880238725	321.582745121	229.400	674.800	m
127	Spectrogram 1	1	324.219312337	324.852435386	249.400	668.200	m
128	Spectrogram 1	1	325.153498157	325.413685711	91.300	409.800	lt
129	Spectrogram 1	1	328.752759324	329.394555291	240.500	692.700	m
130	Spectrogram 1	1	329.429246964	329.741472029	37.900	345.200	lt
131	Spectrogram 1	1	333.453481136	333.774379120	71.300	385.300	lt
132	Spectrogram 1	1	337.136982112	337.431861340	91.300	387.500	lt
133	Spectrogram 1	1	337.978255204	338.238442758	75.700	407.600	lt
134	Spectrogram 1	1	341.308655898	341.872395598	80.200	256.100	lt
135	Spectrogram 1	1	345.347746531	345.868121639	89.100	331.800	lt
136	Spectrogram 1	1	359.299982979	360.002489376	42.300	405.300	lt
137	Spectrogram 1	1	360.080545642	360.687649935	171.500	507.800	m
138	Spectrogram 1	1	361.517760733	362.402398417	240.500	545.700	m
139	Spectrogram 1	1	363.313054857	364.206365460	240.500	688.200	m
140	Spectrogram 1	1	364.509917606	365.403228209	204.900	714.900	m
142	Spectrogram 1	1	363.989542498	364.666030139	287.300	605.800	m
