Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	0.000000000	2.041228027	125.564	974.941	m	0.8330651
2	Spectrogram 1	1	2.417603027	2.993134277	153.328	377.439	w	0.42102543
3	Spectrogram 1	1	3.971581299	4.606819580	128.028	465.610	w	0.7668039
4	Spectrogram 1	1	3.069342682	3.989588989	33.912	277.499	lt	0.7096986
5	Spectrogram 1	1	4.956892212	5.839260254	138.315	372.824	w	0.6519197
6	Spectrogram 1	1	3.047158768	3.463206726	131.887	517.427	w	0.3573266
7	Spectrogram 1	1	8.481471680	9.022386719	117.191	479.734	w	0.905674
8	Spectrogram 1	1	6.140378296	6.811812744	121.444	454.983	w	0.85745066
9	Spectrogram 1	1	7.151446777	7.990214600	145.256	367.813	w	0.6400139
10	Spectrogram 1	1	11.037064697	11.707168701	133.841	503.784	w	0.88573515
11	Spectrogram 1	1	10.205507324	10.766750977	138.137	369.475	w	0.8508693
12	Spectrogram 1	1	9.458910980	10.069115845	183.527	444.702	w	0.56361306
14	Spectrogram 1	1	9.000000000	9.558573853	143.751	355.718	w	0.481455
15	Spectrogram 1	1	13.525123779	14.073622803	120.921	616.695	w	0.8583129
16	Spectrogram 1	1	14.022047852	14.448393555	150.915	462.426	w	0.62027806
17	Spectrogram 1	1	12.347709229	12.939148682	158.781	396.993	w	0.4214235
18	Spectrogram 1	1	17.318718262	18.002238770	143.350	444.169	w	0.9026468
19	Spectrogram 1	1	19.512625000	20.054017090	126.030	612.777	w	0.93484217
20	Spectrogram 1	1	20.618174342	21.021627197	154.534	453.453	w	0.8610821
21	Spectrogram 1	1	18.182117065	19.147483643	154.581	476.693	w	0.41633868
22	Spectrogram 1	1	21.573657959	22.196918579	120.820	483.929	w	0.86859757
23	Spectrogram 1	1	22.942493896	23.699045166	162.522	632.168	w	0.8479661
24	Spectrogram 1	1	21.006916260	21.586898132	152.995	333.736	w	0.41322598
25	Spectrogram 1	1	24.406021484	25.120883301	123.109	481.875	w	0.9158883
26	Spectrogram 1	1	25.520272461	26.129843262	155.248	348.604	w	0.7139056
27	Spectrogram 1	1	26.512903320	27.002642090	127.531	648.922	w	0.629945
28	Spectrogram 1	1	25.916187134	26.400868652	182.035	417.789	w	0.27779967
29	Spectrogram 1	1	23.668591962	24.289860229	171.681	477.477	w	0.2562152
30	Spectrogram 1	1	28.221832031	29.129148926	129.838	475.505	w	0.80228996
31	Spectrogram 1	1	27.005637024	27.299078186	171.616	652.576	w	0.74116206
32	Spectrogram 1	1	27.812439453	28.340767090	151.268	324.570	w	0.66566575
33	Spectrogram 1	1	27.249782895	27.642041199	174.115	387.387	w	0.61186993
34	Spectrogram 1	1	31.424264404	32.060657471	135.549	516.089	w	0.8856942
35	Spectrogram 1	1	30.247457094	31.327316040	198.367	621.622	w	0.85353225
36	Spectrogram 1	1	32.606415039	33.019318848	140.090	427.964	w	0.8391931
37	Spectrogram 1	1	29.744030892	30.384755149	138.356	348.348	w	0.510782
38	Spectrogram 1	1	35.601692871	36.023088867	126.529	452.109	w	0.9046318
39	Spectrogram 1	1	33.007050659	33.766537048	148.951	651.616	w	0.88965917
40	Spectrogram 1	1	34.148287476	34.840858276	131.885	469.389	w	0.883592
41	Spectrogram 1	1	36.844542480	37.561303223	141.189	649.410	w	0.8967475
42	Spectrogram 1	1	38.445540039	39.006273926	154.139	446.958	w	0.6506559
43	Spectrogram 1	1	37.640770996	38.154685547	49.549	268.988	lt	0.48798293
44	Spectrogram 1	1	36.000000000	36.259627930	156.453	457.034	w	0.40345553
45	Spectrogram 1	1	39.995928467	40.639221924	169.488	656.095	w	0.8860144
46	Spectrogram 1	1	40.934013184	41.618131836	157.115	467.960	w	0.7699514
47	Spectrogram 1	1	41.515310547	43.098780034	160.042	975.976	m	0.7617347
48	Spectrogram 1	1	39.523810669	40.242318359	123.657	547.379	w	0.5124819
49	Spectrogram 1	1	39.000000000	39.406823608	150.378	342.990	w	0.51183456
50	Spectrogram 1	1	42.917001648	43.502024658	171.657	649.996	w	0.66678673
51	Spectrogram 1	1	43.561683594	44.563292620	157.230	363.363	w	0.43081883
52	Spectrogram 1	1	45.000000000	45.707856812	125.633	500.788	w	0.8132659
53	Spectrogram 1	1	47.003252197	47.688844482	185.873	644.877	w	0.7581177
54	Spectrogram 1	1	46.219938232	47.155991699	160.146	520.131	w	0.59892815
55	Spectrogram 1	1	47.489443604	48.167366562	146.194	333.333	w	0.48280513
57	Spectrogram 1	1	50.491998535	51.018432129	182.207	636.603	w	0.9183389
58	Spectrogram 1	1	48.971179687	49.666114746	161.987	448.324	w	0.7182427
59	Spectrogram 1	1	48.141384644	48.836385864	190.648	382.174	w	0.6925447
60	Spectrogram 1	1	50.000662598	50.345769043	156.892	474.078	w	0.42915928
62	Spectrogram 1	1	52.197609619	52.797389893	134.652	460.971	w	0.91639227
63	Spectrogram 1	1	53.554293457	54.026324707	143.924	659.285	w	0.7265988
64	Spectrogram 1	1	51.248489258	51.977205688	142.868	496.709	w	0.6737462
65	Spectrogram 1	1	51.000000000	51.195434631	216.658	588.947	w	0.38911414
66	Spectrogram 1	1	54.000000000	54.440947266	151.664	606.171	w	0.8411426
67	Spectrogram 1	1	56.388872070	56.996815430	152.453	546.075	w	0.7056076
68	Spectrogram 1	1	55.032198730	55.949125000	142.873	466.810	w	0.6552585
69	Spectrogram 1	1	59.457524414	60.021022461	112.874	470.600	w	0.86871326
70	Spectrogram 1	1	57.009751495	57.351666840	185.311	630.969	w	0.79990464
71	Spectrogram 1	1	58.147456299	58.772043457	145.241	430.175	lt	0.65433085
72	Spectrogram 1	1	60.017976685	60.548799500	194.794	617.241	w	0.8626524
73	Spectrogram 1	1	61.710182129	63.409963959	207.207	978.223	m	0.74946666
74	Spectrogram 1	1	60.929849121	61.536342285	147.427	326.145	w	0.747934
75	Spectrogram 1	1	62.555569824	63.021176270	109.827	339.526	w	0.5445445
76	Spectrogram 1	1	64.903018555	65.629286621	179.482	386.570	w	0.4370054
77	Spectrogram 1	1	64.025608521	64.485171997	150.922	321.004	w	0.32822067
78	Spectrogram 1	1	63.559192505	63.993480692	165.165	377.716	w	0.25521636
79	Spectrogram 1	1	68.202609619	68.896408447	155.464	530.912	w	0.90806675
80	Spectrogram 1	1	66.191690186	66.686613403	33.720	459.153	lt	0.8359638
81	Spectrogram 1	1	67.094128432	67.625499023	153.357	630.631	w	0.61305743
82	Spectrogram 1	1	66.772581055	67.311517019	144.170	345.345	w	0.4402366
83	Spectrogram 1	1	70.933152954	71.681245605	152.457	430.297	w	0.8399082
84	Spectrogram 1	1	69.711894226	70.279449951	144.077	409.270	w	0.5943172
85	Spectrogram 1	1	70.316168621	70.796909302	188.506	408.408	w	0.4517332
86	Spectrogram 1	1	72.114246033	72.811188843	131.121	468.901	w	0.84911495
87	Spectrogram 1	1	74.687488281	75.281781608	126.889	405.405	w	0.6668963
88	Spectrogram 1	1	73.227845947	74.101885986	163.549	546.185	w	0.51346457
89	Spectrogram 1	1	76.353295410	79.918765589	151.411	981.982	m	0.8789194
90	Spectrogram 1	1	76.005691406	76.423087891	157.480	448.596	w	0.32127884
92	Spectrogram 1	1	79.871456299	80.753995423	159.676	447.447	w	0.31592062
93	Spectrogram 1	1	82.745576904	83.335185303	142.145	458.338	w	0.8515903
94	Spectrogram 1	1	81.675220337	82.285001831	147.203	507.265	w	0.713207
95	Spectrogram 1	1	84.101892162	90.110931641	126.836	993.994	m	0.8914199
96	Spectrogram 1	1	90.000000000	93.004583496	137.771	973.181	m	0.86988914
97	Spectrogram 1	1	93.013741211	96.061819092	131.871	980.831	m	0.8586947
98	Spectrogram 1	1	96.016640137	99.040601563	133.158	988.513	m	0.9007413
99	Spectrogram 1	1	99.000000000	102.012464355	122.679	966.088	m	0.8065031
100	Spectrogram 1	1	102.000000000	105.099306152	145.332	968.587	m	0.87971574
101	Spectrogram 1	1	105.000000000	108.065187500	134.132	973.748	m	0.889624
102	Spectrogram 1	1	108.000000000	111.204837891	130.785	966.303	m	0.84509915
103	Spectrogram 1	1	111.046996338	114.056722168	147.812	960.429	m	0.78806365
104	Spectrogram 1	1	115.789214355	117.032263184	131.322	982.526	m	0.88130295
105	Spectrogram 1	1	114.000000000	114.473290955	141.939	446.490	w	0.6571217
106	Spectrogram 1	1	115.109160889	115.769841553	172.213	463.909	w	0.56825674
107	Spectrogram 1	1	117.002690918	120.053905762	127.461	986.698	m	0.8449425
108	Spectrogram 1	1	120.000000000	123.067830811	123.173	1000.000	m	0.7606574
109	Spectrogram 1	1	123.010699707	126.082111816	123.157	998.314	m	0.8286787
110	Spectrogram 1	1	126.000000000	129.115782959	128.814	970.588	m	0.77142984
111	Spectrogram 1	1	129.014112915	129.671736694	168.556	491.752	w	0.7524793
112	Spectrogram 1	1	130.570904785	131.159090820	177.200	552.886	w	0.6888148
113	Spectrogram 1	1	129.575291626	129.926860107	136.701	887.796	lt	0.41838393
114	Spectrogram 1	1	134.693060303	135.042513428	104.776	977.350	lt	0.823456
115	Spectrogram 1	1	133.355665527	133.824815186	158.184	498.861	w	0.76771814
116	Spectrogram 1	1	132.000000000	132.427394897	117.550	970.161	m	0.7619786
117	Spectrogram 1	1	132.575993652	133.241843994	177.253	411.096	w	0.6269757
118	Spectrogram 1	1	133.929725586	134.588340820	168.656	554.753	w	0.46689168
119	Spectrogram 1	1	135.290011139	135.789284058	148.177	470.850	w	0.7912297
120	Spectrogram 1	1	136.786102295	137.580803955	163.741	544.315	w	0.73680365
121	Spectrogram 1	1	135.771812866	136.571818481	32.815	396.264	lt	0.41192695
122	Spectrogram 1	1	137.395878418	137.837704590	167.470	542.605	w	0.40954292
123	Spectrogram 1	1	140.046247803	140.544049072	158.662	561.726	w	0.6148072
124	Spectrogram 1	1	141.107168472	141.598133545	193.308	529.124	w	0.8429464
125	Spectrogram 1	1	141.725870117	142.387422852	182.832	468.322	w	0.7495578
126	Spectrogram 1	1	146.479606934	147.014677246	173.265	558.733	w	0.483406
127	Spectrogram 1	1	147.031921082	147.619295410	188.111	513.304	w	0.7392938
128	Spectrogram 1	1	148.495785156	148.947881836	228.910	524.485	w	0.7071125
129	Spectrogram 1	1	145.465757008	150.035529297	102.069	981.982	lt	0.6616836
130	Spectrogram 1	1	148.240930664	148.961238770	0.786	215.429	lt	0.56631
131	Spectrogram 1	1	149.234250977	149.530148438	189.574	542.490	w	0.3873216
132	Spectrogram 1	1	150.037412842	152.101829662	129.129	974.481	m	0.8707068
133	Spectrogram 1	1	152.111152832	152.479399314	171.662	522.523	w	0.5619331
134	Spectrogram 1	1	150.850333130	151.230084106	194.844	529.317	w	0.52868503
135	Spectrogram 1	1	152.525165332	153.143006579	192.797	516.517	w	0.48205936
136	Spectrogram 1	1	154.473955322	154.989865479	167.579	510.368	w	0.4804275
137	Spectrogram 1	1	156.136216676	156.410904541	180.531	498.498	w	0.770397
138	Spectrogram 1	1	157.473769043	158.027013672	180.203	585.648	w	0.6907747
140	Spectrogram 1	1	156.973220703	157.454012939	197.534	563.915	w	0.2528012
141	Spectrogram 1	1	160.544128662	161.195755859	162.261	583.260	w	0.7292274
142	Spectrogram 1	1	159.730362549	160.004036133	170.190	493.000	w	0.5965904
143	Spectrogram 1	1	161.707986328	162.015460937	165.647	392.189	w	0.532659
144	Spectrogram 1	1	158.985151316	160.007890747	164.025	477.477	w	0.40063348
145	Spectrogram 1	1	159.741897827	160.234413208	205.334	519.956	w	0.28551143
146	Spectrogram 1	1	163.127779053	163.877651173	177.276	638.009	w	0.9339094
147	Spectrogram 1	1	164.173882324	165.033461426	162.432	881.486	m	0.7666117
148	Spectrogram 1	1	162.082498291	162.923500366	172.608	495.627	w	0.74367595
149	Spectrogram 1	1	162.082346085	162.490462036	171.104	493.208	w	0.64594567
150	Spectrogram 1	1	165.167037598	168.041855957	141.016	909.987	m	0.73011184
151	Spectrogram 1	1	166.180548584	166.531348389	112.669	782.434	lt	0.58270395
153	Spectrogram 1	1	170.392975098	170.902129395	168.405	490.953	w	0.7703551
154	Spectrogram 1	1	168.603242920	169.186509296	165.588	522.523	w	0.7310266
155	Spectrogram 1	1	168.000000000	168.540861206	182.110	941.779	m	0.67827886
