Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	0.259737013	1.098887363	64.220	455.657	lt
2	Spectrogram 1	1	3.206753122	3.716237263	70.336	333.333	lt
3	Spectrogram 1	1	4.045903472	5.064871753	73.394	446.483	lt
4	Spectrogram 1	1	7.402504870	7.971928322	64.220	397.554	lt
5	Spectrogram 1	1	8.121776598	8.831058442	70.336	382.263	lt
6	Spectrogram 1	1	9.719271728	10.578401848	88.685	480.122	lt
7	Spectrogram 1	1	13.045903472	13.645296578	73.394	415.902	lt
8	Spectrogram 1	1	14.874052448	15.793121878	76.453	449.541	lt
9	Spectrogram 1	1	16.911989011	17.411483267	48.930	382.263	lt
10	Spectrogram 1	1	18.998988511	19.828148976	94.801	431.193	lt
11	Spectrogram 1	1	19.648331044	20.217754496	97.859	296.636	lt
12	Spectrogram 1	1	21.246712662	21.816136114	55.046	431.193	lt
13	Spectrogram 1	1	23.184750375	24.353566933	61.162	379.205	lt
14	Spectrogram 1	1	25.302606019	25.892009241	64.220	415.902	lt
15	Spectrogram 1	1	26.291604645	27.260623501	70.336	431.193	lt
16	Spectrogram 1	1	28.838138861	29.687279096	76.453	394.495	lt
17	Spectrogram 1	1	29.727238636	30.386571054	58.104	409.786	lt
18	Spectrogram 1	1	31.015933816	31.885053821	67.278	458.716	lt
19	Spectrogram 1	1	32.494436813	32.624305320	61.162	581.040	lt
20	Spectrogram 1	1	32.594335664	33.113809690	61.162	385.321	lt
21	Spectrogram 1	1	33.803111763	34.512393606	36.697	382.263	lt
22	Spectrogram 1	1	35.021877747	35.811078671	70.336	348.624	lt
23	Spectrogram 1	1	36.149848277	37.108877248	70.336	467.890	lt
24	Spectrogram 1	1	37.738240010	38.327643232	64.220	400.612	lt
25	Spectrogram 1	1	39.826125999	40.585357268	61.162	376.147	lt
26	Spectrogram 1	1	40.825114510	41.624305320	55.046	397.554	lt
27	Spectrogram 1	1	42.593324176	43.492413836	67.278	470.948	lt
28	Spectrogram 1	1	44.251645105	44.831058442	67.278	385.321	lt
29	Spectrogram 1	1	46.548432193	47.407562313	82.569	428.135	lt
30	Spectrogram 1	1	47.697268981	48.366591284	55.046	409.786	lt
31	Spectrogram 1	1	48.476480020	49.055893357	58.104	406.728	lt
32	Spectrogram 1	1	50.354578422	51.123799575	64.220	394.495	lt
33	Spectrogram 1	1	52.342565559	53.141756369	70.336	470.948	lt
34	Spectrogram 1	1	53.431463037	54.140744880	58.104	311.927	lt
35	Spectrogram 1	1	55.438543457	56.297673576	64.220	403.670	lt
36	Spectrogram 1	1	57.566388986	58.485458417	70.336	452.599	lt
37	Spectrogram 1	1	58.835104396	59.674254745	51.988	400.612	lt
38	Spectrogram 1	1	60.733182567	61.402504870	67.278	388.379	lt
39	Spectrogram 1	1	62.281614760	62.791098901	58.104	302.752	lt
40	Spectrogram 1	1	63.249747128	64.188796329	67.278	449.541	lt
41	Spectrogram 1	1	64.258725524	64.718260240	76.453	544.343	lt
42	Spectrogram 1	1	64.728250125	65.267703921	45.872	400.612	lt
43	Spectrogram 1	1	66.206753122	66.826125999	110.092	327.217	lt
44	Spectrogram 1	1	67.125822552	67.905033591	48.930	400.612	lt
45	Spectrogram 1	1	68.414517732	69.163759116	67.278	406.728	lt
46	Spectrogram 1	1	69.343577048	69.922990385	48.930	422.018	lt
47	Spectrogram 1	1	70.522383492	71.491402348	64.220	440.367	lt
48	Spectrogram 1	1	72.979008741	73.738240010	45.872	400.612	lt
49	Spectrogram 1	1	75.576378871	76.485458417	45.872	486.239	lt
50	Spectrogram 1	1	76.495448302	77.164770604	73.394	391.437	lt
51	Spectrogram 1	1	77.634295205	78.203718656	67.278	400.612	lt
52	Spectrogram 1	1	80.181715909	80.930957293	58.104	412.844	lt
53	Spectrogram 1	1	81.349645979	82.178806444	51.988	449.541	lt
54	Spectrogram 1	1	82.218765984	82.788189436	76.453	507.645	lt
55	Spectrogram 1	1	83.487481394	83.877086913	48.930	192.661	lt
56	Spectrogram 1	1	85.035913586	85.625316808	58.104	409.786	lt
57	Spectrogram 1	1	86.174760490	87.273647852	51.988	483.180	lt
58	Spectrogram 1	1	88.612292458	89.261634990	48.930	425.076	lt
59	Spectrogram 1	1	89.561331543	89.701189935	36.697	651.376	lt
60	Spectrogram 1	1	90.769221154	91.658320929	70.336	437.309	lt
61	Spectrogram 1	1	91.898078172	93.096864386	58.104	422.018	lt
62	Spectrogram 1	1	94.725215659	95.364568307	73.394	403.670	lt
63	Spectrogram 1	1	96.663253372	97.542363262	76.453	495.413	lt
64	Spectrogram 1	1	98.581311314	99.140744880	70.336	409.786	lt
65	Spectrogram 1	1	99.519474026	100.658320929	88.685	409.786	lt
66	Spectrogram 1	1	102.116844156	102.876075425	79.511	467.890	lt
67	Spectrogram 1	1	104.004932443	104.604325549	42.813	400.612	lt
68	Spectrogram 1	1	105.753162338	106.842059815	61.162	406.728	lt
69	Spectrogram 1	1	108.469524600	109.428553571	64.220	449.541	lt
70	Spectrogram 1	1	111.596358641	112.275670829	48.930	400.612	lt
71	Spectrogram 1	1	113.943981643	114.463455669	51.988	412.844	lt
72	Spectrogram 1	1	115.512393606	116.431463037	85.627	464.832	lt
73	Spectrogram 1	1	117.289706668	117.449544830	70.336	486.239	lt
74	Spectrogram 1	1	117.329666209	117.859130120	61.162	305.810	lt
75	Spectrogram 1	1	119.557410589	120.456500250	85.627	394.495	lt
76	Spectrogram 1	1	121.625316808	122.434497502	70.336	474.006	lt
77	Spectrogram 1	1	123.633283716	124.302606019	58.104	412.844	lt
78	Spectrogram 1	1	125.561331543	126.440441434	33.639	403.670	lt
