Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	1.992544640	2.477760480	75.554	308.128	lt	0.5614943
2	Spectrogram 1	1	4.604655200	5.104831294	85.627	313.317	lt	0.38766962
3	Spectrogram 1	1	7.912177600	8.476998720	76.682	335.641	lt	0.65246683
5	Spectrogram 1	1	11.503072320	12.099885280	70.811	298.357	lt	0.55897856
7	Spectrogram 1	1	19.128521600	19.417646400	42.949	296.794	lt	0.6002353
8	Spectrogram 1	1	14.813607393	15.337023680	56.289	293.226	lt	0.5202467
9	Spectrogram 1	1	17.867265120	18.394654400	59.818	288.498	lt	0.51904714
11	Spectrogram 1	1	22.361822720	22.811538560	80.569	254.047	lt	0.59298915
12	Spectrogram 1	1	29.410225120	30.225215659	35.564	286.126	lt	0.6569025
13	Spectrogram 1	1	26.060825799	26.442778080	74.270	282.093	lt	0.565997
15	Spectrogram 1	1	25.715729008	25.960926948	55.309	282.849	lt	0.42531058
16	Spectrogram 1	1	34.517894400	34.764142400	36.821	303.806	lt	0.687321
18	Spectrogram 1	1	33.075424800	33.586036160	86.697	253.959	lt	0.5208833
19	Spectrogram 1	1	39.379688000	40.143779346	72.600	318.501	lt	0.5534568
20	Spectrogram 1	1	38.126310560	38.503578080	267.117	493.425	m	0.4218936
22	Spectrogram 1	1	40.270884096	42.067821600	78.824	370.784	lt	0.27523008
23	Spectrogram 1	1	49.337022880	49.714921600	48.910	372.630	lt	0.7213909
24	Spectrogram 1	1	45.029018371	45.586108032	58.045	308.902	lt	0.5919619
25	Spectrogram 1	1	47.831354080	48.379678240	78.497	278.650	lt	0.5222465
26	Spectrogram 1	1	51.888702240	52.277855520	91.829	578.488	lt	0.84102297
27	Spectrogram 1	1	54.220337920	54.688753920	66.664	333.485	lt	0.73592865
28	Spectrogram 1	1	50.003445160	50.370809360	46.233	288.477	lt	0.6116863
29	Spectrogram 1	1	57.882839840	58.546794880	67.356	358.865	lt	0.67454547
30	Spectrogram 1	1	63.824192320	64.554469760	68.449	298.313	lt	0.58318275
31	Spectrogram 1	1	67.666502240	68.141333280	81.608	300.991	lt	0.4678719
32	Spectrogram 1	1	66.364386880	66.969361920	114.097	350.822	lt	0.29114115
33	Spectrogram 1	1	72.188763680	72.863572320	25.854	282.356	lt	0.62304413
34	Spectrogram 1	1	77.712104960	78.363543520	65.680	290.607	lt	0.63841933
35	Spectrogram 1	1	84.201699680	84.590834400	77.401	260.933	lt	0.5410655
36	Spectrogram 1	1	85.904751952	86.286026560	21.330	314.505	lt	0.72479653
37	Spectrogram 1	1	89.341535200	89.998523200	27.796	360.895	lt	0.48761904
38	Spectrogram 1	1	90.798426400	91.453747680	56.703	292.310	lt	0.6626312
39	Spectrogram 1	1	97.414723680	97.715791520	12.227	295.016	lt	0.47595426
40	Spectrogram 1	1	102.187738720	102.923549280	50.065	353.971	lt	0.38524854
41	Spectrogram 1	1	102.196119360	102.436141920	23.457	281.583	lt	0.34204724
42	Spectrogram 1	1	112.020089360	112.346935040	29.157	304.161	lt	0.51471573
43	Spectrogram 1	1	110.328546816	110.553993232	77.268	273.606	lt	0.2773427
44	Spectrogram 1	1	118.691863840	119.259204160	67.204	279.888	lt	0.6106406
45	Spectrogram 1	1	115.348835936	115.854348512	75.105	274.139	lt	0.45287454
46	Spectrogram 1	1	123.010704640	123.746749440	69.284	312.500	lt	0.6297606
47	Spectrogram 1	1	127.582508480	128.333965600	59.155	319.442	lt	0.66581535
48	Spectrogram 1	1	125.008328003	125.534986560	24.822	327.249	lt	0.35486698
49	Spectrogram 1	1	132.903971200	133.590376960	74.688	323.599	lt	0.62402505
50	Spectrogram 1	1	138.804836800	139.275198720	75.099	306.375	lt	0.6894596
51	Spectrogram 1	1	141.322860960	141.756937376	81.502	361.359	lt	0.7532985
52	Spectrogram 1	1	149.138024480	149.518491200	69.369	272.610	lt	0.61745226
54	Spectrogram 1	1	150.988994400	151.320520480	28.412	347.706	lt	0.709315
55	Spectrogram 1	1	153.933331200	154.396135680	79.386	307.546	lt	0.6091167
56	Spectrogram 1	1	155.171558048	155.538057376	8.355	334.704	lt	0.7917486
57	Spectrogram 1	1	163.124261920	163.551930400	75.147	356.464	lt	0.68549544
58	Spectrogram 1	1	168.078552320	168.377126400	67.217	356.772	lt	0.738979
59	Spectrogram 1	1	172.898715840	173.249598560	44.758	344.151	lt	0.7567612
60	Spectrogram 1	1	177.111713920	177.471254880	57.742	350.727	lt	0.7750719
61	Spectrogram 1	1	183.239533440	183.523684320	48.469	337.868	lt	0.64433616
62	Spectrogram 1	1	203.727883200	204.055301280	61.902	358.668	lt	0.47518888
63	Spectrogram 1	1	200.535763488	200.855233120	58.439	317.560	lt	0.4665964
64	Spectrogram 1	1	204.172021440	204.403539200	83.352	284.702	lt	0.268139
65	Spectrogram 1	1	209.776003840	210.008000000	1.514	287.291	lt	0.3446502
66	Spectrogram 1	1	210.196788640	210.424355104	78.669	320.788	lt	0.43348983
67	Spectrogram 1	1	218.021652800	218.369501440	0.553	316.340	lt	0.78310573
68	Spectrogram 1	1	222.345009280	222.736439040	22.688	327.508	lt	0.740997
69	Spectrogram 1	1	226.341574720	226.760576160	30.217	328.105	lt	0.7566457
70	Spectrogram 1	1	238.849303200	239.529320000	50.798	289.051	lt	0.54090255
71	Spectrogram 1	1	235.963455669	236.418420960	0.000	282.928	lt	0.5380129
72	Spectrogram 1	1	235.617296752	235.968887568	2.315	282.770	lt	0.30713353
74	Spectrogram 1	1	242.095712000	242.696543520	34.402	318.776	lt	0.5188669
75	Spectrogram 1	1	249.703707520	250.436014735	53.777	361.074	lt	0.580865
76	Spectrogram 1	1	253.123936480	253.716229440	52.511	279.937	lt	0.7061283
